"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"281",1000001,1,24.5040959040954,100,"Bayesian",NA,"Bayesian (Pooled)"
"506",1000001,1,11.7824675324677,10,"Bayesian",NA,"Bayesian (Pooled)"
"731",1000001,1,33.0591908091909,11,"Bayesian",NA,"Bayesian (Pooled)"
"928",1000001,1,14.2280576566292,12,"Bayesian",NA,"Bayesian (Pooled)"
"1181",1000001,1,24.7783327783327,13,"Bayesian",NA,"Bayesian (Pooled)"
"1378",1000001,1,14.5274725274727,14,"Bayesian",NA,"Bayesian (Pooled)"
"1631",1000001,1,15.4010434010433,15,"Bayesian",NA,"Bayesian (Pooled)"
"1912",1000001,1,13.0287712287707,16,"Bayesian",NA,"Bayesian (Pooled)"
"2165",1000001,1,18.1971361971362,17,"Bayesian",NA,"Bayesian (Pooled)"
"2446",1000001,1,18.1526473526468,18,"Bayesian",NA,"Bayesian (Pooled)"
"2727",1000001,1,12.6227772227766,19,"Bayesian",NA,"Bayesian (Pooled)"
"2980",1000001,1,32.4570984570985,1,"Bayesian",NA,"Bayesian (Pooled)"
"3261",1000001,1,16.3626373626368,20,"Bayesian",NA,"Bayesian (Pooled)"
"3514",1000001,1,16.6941946941946,21,"Bayesian",NA,"Bayesian (Pooled)"
"3795",1000001,1,13.8135864135859,22,"Bayesian",NA,"Bayesian (Pooled)"
"4076",1000001,1,12.5292707292702,23,"Bayesian",NA,"Bayesian (Pooled)"
"4329",1000001,1,12.3478743478743,24,"Bayesian",NA,"Bayesian (Pooled)"
"4610",1000001,1,22.0767232767227,25,"Bayesian",NA,"Bayesian (Pooled)"
"4863",1000001,1,9.44411144411139,26,"Bayesian",NA,"Bayesian (Pooled)"
"5060",1000001,1,30.9887255601543,27,"Bayesian",NA,"Bayesian (Pooled)"
"5341",1000001,1,19.1158841158836,28,"Bayesian",NA,"Bayesian (Pooled)"
"5594",1000001,1,13.8221778221778,29,"Bayesian",NA,"Bayesian (Pooled)"
"5819",1000001,1,10.808191808192,2,"Bayesian",NA,"Bayesian (Pooled)"
"6072",1000001,1,11.9307359307359,30,"Bayesian",NA,"Bayesian (Pooled)"
"6353",1000001,1,25.5712287712282,31,"Bayesian",NA,"Bayesian (Pooled)"
"6578",1000001,1,18.4073426573428,32,"Bayesian",NA,"Bayesian (Pooled)"
"6803",1000001,1,13.3239260739262,33,"Bayesian",NA,"Bayesian (Pooled)"
"7056",1000001,1,8.55033855033851,34,"Bayesian",NA,"Bayesian (Pooled)"
"7337",1000001,1,11.8257742257736,35,"Bayesian",NA,"Bayesian (Pooled)"
"7534",1000001,1,10.6393606393608,36,"Bayesian",NA,"Bayesian (Pooled)"
"7759",1000001,1,26.8886113886115,37,"Bayesian",NA,"Bayesian (Pooled)"
"8012",1000001,1,9.53912753912747,38,"Bayesian",NA,"Bayesian (Pooled)"
"8293",1000001,1,12.1972027972023,39,"Bayesian",NA,"Bayesian (Pooled)"
"8574",1000001,1,12.1262737262731,3,"Bayesian",NA,"Bayesian (Pooled)"
"8855",1000001,1,24.2117882117876,40,"Bayesian",NA,"Bayesian (Pooled)"
"9136",1000001,1,26.9446553446548,41,"Bayesian",NA,"Bayesian (Pooled)"
"9389",1000001,1,13.1910311910311,42,"Bayesian",NA,"Bayesian (Pooled)"
"9642",1000001,1,10.894660894661,43,"Bayesian",NA,"Bayesian (Pooled)"
"9923",1000001,1,10.8355644355638,44,"Bayesian",NA,"Bayesian (Pooled)"
"10176",1000001,1,16.3623043623043,45,"Bayesian",NA,"Bayesian (Pooled)"
"10429",1000001,1,10.952602952603,46,"Bayesian",NA,"Bayesian (Pooled)"
"10710",1000001,1,10.0025974025969,47,"Bayesian",NA,"Bayesian (Pooled)"
"10963",1000001,1,22.9399489399489,48,"Bayesian",NA,"Bayesian (Pooled)"
"11188",1000001,1,12.3743756243758,49,"Bayesian",NA,"Bayesian (Pooled)"
"11413",1000001,1,27.387112887113,4,"Bayesian",NA,"Bayesian (Pooled)"
"11694",1000001,1,10.8567432567427,50,"Bayesian",NA,"Bayesian (Pooled)"
"11919",1000001,1,9.96553446553461,51,"Bayesian",NA,"Bayesian (Pooled)"
"12172",1000001,1,16.072816072816,52,"Bayesian",NA,"Bayesian (Pooled)"
"12425",1000001,1,21.6463536463536,53,"Bayesian",NA,"Bayesian (Pooled)"
"12706",1000001,1,11.7666333666328,54,"Bayesian",NA,"Bayesian (Pooled)"
