"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"281",1000001,1,96.9392607392599,100,"Bayesian",NA,"Bayesian (Pooled)"
"534",1000001,1,1824.11188811189,10,"Bayesian",NA,"Bayesian (Pooled)"
"787",1000001,1,2191.82128982129,11,"Bayesian",NA,"Bayesian (Pooled)"
"1068",1000001,0.987211645705199,2743.23376623377,12,"Bayesian",NA,"Bayesian (Pooled)"
"1349",1000001,0.961524276297141,2628.15144855145,13,"Bayesian",NA,"Bayesian (Pooled)"
"1630",1000001,0.791266506609083,2359.201998002,14,"Bayesian",NA,"Bayesian (Pooled)"
"1827",1000001,0.981076368073514,962.790923362352,15,"Bayesian",NA,"Bayesian (Pooled)"
"2080",1000001,0.989041293994045,2956.54523254523,16,"Bayesian",NA,"Bayesian (Pooled)"
"2305",1000001,0.740897789918853,2340.30869130869,17,"Bayesian",NA,"Bayesian (Pooled)"
"2558",1000001,0.989294883791078,2388.77855477855,18,"Bayesian",NA,"Bayesian (Pooled)"
"2811",1000001,0.988902754913001,1186.78210678211,19,"Bayesian",NA,"Bayesian (Pooled)"
"3092",1000001,0.989047616950968,474.637362637362,1,"Bayesian",NA,"Bayesian (Pooled)"
"3373",1000001,1,891.104295704295,20,"Bayesian",NA,"Bayesian (Pooled)"
"3654",1000001,0.986248553161215,1339.15644355644,21,"Bayesian",NA,"Bayesian (Pooled)"
"3879",1000001,0.99382367953993,904.260739260739,22,"Bayesian",NA,"Bayesian (Pooled)"
"4160",1000001,1,1811.17222777223,23,"Bayesian",NA,"Bayesian (Pooled)"
"4441",1000001,0.992387460655795,1243.82857142857,24,"Bayesian",NA,"Bayesian (Pooled)"
"4722",1000001,0.980424238901414,1791.5032967033,25,"Bayesian",NA,"Bayesian (Pooled)"
"4975",1000001,0.988399332430174,1356.36341436341,26,"Bayesian",NA,"Bayesian (Pooled)"
"5200",1000001,1,1213.53246753247,27,"Bayesian",NA,"Bayesian (Pooled)"
"5453",1000001,0.983549687936047,985.030525030525,28,"Bayesian",NA,"Bayesian (Pooled)"
"5734",1000001,0.981097204178128,1499.17922077922,29,"Bayesian",NA,"Bayesian (Pooled)"
"6015",1000001,0.744211621910794,2684.95464535464,2,"Bayesian",NA,"Bayesian (Pooled)"
"6268",1000001,0.986045081073404,1999.56421356421,30,"Bayesian",NA,"Bayesian (Pooled)"
"6465",1000001,0.993450308884685,3544.20807763665,31,"Bayesian",NA,"Bayesian (Pooled)"
"6718",1000001,0.988655797514537,498.845820845821,32,"Bayesian",NA,"Bayesian (Pooled)"
"6999",1000001,0.981601109480835,1772.15344655345,33,"Bayesian",NA,"Bayesian (Pooled)"
"7252",1000001,0.765704111783316,3815.3248973249,34,"Bayesian",NA,"Bayesian (Pooled)"
"7477",1000001,0.970473345278629,337.524725274725,35,"Bayesian",NA,"Bayesian (Pooled)"
"7758",1000001,0.986784488689685,2131.05174825175,36,"Bayesian",NA,"Bayesian (Pooled)"
"7983",1000001,0.788628076337851,3152.27722277722,37,"Bayesian",NA,"Bayesian (Pooled)"
"8236",1000001,0.981757164575677,2532.67798867799,38,"Bayesian",NA,"Bayesian (Pooled)"
"8461",1000001,0.987905123966561,869.432567432567,39,"Bayesian",NA,"Bayesian (Pooled)"
