"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"253",1000001,0.00128682639766736,16497.7557997558,100,"Bayesian",NA,"Bayesian (Pooled)"
"506",1000001,0.0265534168786361,12565.4634254634,10,"Bayesian",NA,"Bayesian (Pooled)"
"731",1000001,0.0152214552675742,16376.9602897103,11,"Bayesian",NA,"Bayesian (Pooled)"
"984",1000001,-0.000441422435829716,16238.5654345654,12,"Bayesian",NA,"Bayesian (Pooled)"
"1237",1000001,0.00541080288655139,17309.0260850261,13,"Bayesian",NA,"Bayesian (Pooled)"
"1518",1000001,0.0047407440259577,20141.412987013,14,"Bayesian",NA,"Bayesian (Pooled)"
"1799",1000001,0.00329890934017733,17396.8913086913,15,"Bayesian",NA,"Bayesian (Pooled)"
"2052",1000001,0.00754771889233012,16873.1397491397,16,"Bayesian",NA,"Bayesian (Pooled)"
"2305",1000001,0.00213367005886346,16599.4942834943,17,"Bayesian",NA,"Bayesian (Pooled)"
"2530",1000001,0.00918185189527017,15379.6066433566,18,"Bayesian",NA,"Bayesian (Pooled)"
"2783",1000001,-0.00238252227852139,18850.0597180597,19,"Bayesian",NA,"Bayesian (Pooled)"
"3064",1000001,-0.000699519026536719,17928.2639360639,1,"Bayesian",NA,"Bayesian (Pooled)"
"3345",1000001,-0.00373513288356497,17909.4681318681,20,"Bayesian",NA,"Bayesian (Pooled)"
"3570",1000001,0.0078132172048154,19042.8863636364,21,"Bayesian",NA,"Bayesian (Pooled)"
"3851",1000001,-0.00350832098530066,19248.8057942058,22,"Bayesian",NA,"Bayesian (Pooled)"
"4104",1000001,-0.00365972611441268,15832.2537462537,23,"Bayesian",NA,"Bayesian (Pooled)"
"4357",1000001,0.00765719594247232,17066.6633366633,24,"Bayesian",NA,"Bayesian (Pooled)"
"4610",1000001,0.00241471632197451,15752.1431901432,25,"Bayesian",NA,"Bayesian (Pooled)"
"4835",1000001,0.00673533652905946,16613.8241758242,26,"Bayesian",NA,"Bayesian (Pooled)"
"5088",1000001,0.00703390078160692,19195.2061272061,27,"Bayesian",NA,"Bayesian (Pooled)"
"5369",1000001,0.0170779839812673,14073.0919080919,28,"Bayesian",NA,"Bayesian (Pooled)"
"5650",1000001,0.0150981292586355,18239.8611388611,29,"Bayesian",NA,"Bayesian (Pooled)"
"5903",1000001,0.00567331558970152,18005.5704295704,2,"Bayesian",NA,"Bayesian (Pooled)"
"6128",1000001,0.0116429263118576,15201.250999001,30,"Bayesian",NA,"Bayesian (Pooled)"
"6381",1000001,0.0698048310158516,12591.2514152514,31,"Bayesian",NA,"Bayesian (Pooled)"
"6662",1000001,0.0189914744187997,18734.9056943057,32,"Bayesian",NA,"Bayesian (Pooled)"
"6859",1000001,-0.0119378432413052,17656.2214927929,33,"Bayesian",NA,"Bayesian (Pooled)"
"7140",1000001,0.00748975554223427,16366.7724275724,34,"Bayesian",NA,"Bayesian (Pooled)"
"7393",1000001,0.0150087786667778,15784.4215784216,35,"Bayesian",NA,"Bayesian (Pooled)"
"7590",1000001,0.00377954400645639,16444.2760097046,36,"Bayesian",NA,"Bayesian (Pooled)"
"7871",1000001,0.0796656868138885,14164.957042957,37,"Bayesian",NA,"Bayesian (Pooled)"
"8096",1000001,-0.00349069427895349,18783.3753746254,38,"Bayesian",NA,"Bayesian (Pooled)"
"8377",1000001,0.0069154760084673,16894.9118881119,39,"Bayesian",NA,"Bayesian (Pooled)"
"8630",1000001,0.0178634630684072,15997.0735930736,3,"Bayesian",NA,"Bayesian (Pooled)"
"8883",1000001,0.00357803944535322,16505.9888999889,40,"Bayesian",NA,"Bayesian (Pooled)"
"9108",1000001,0.00151481797355687,16715.8221778222,41,"Bayesian",NA,"Bayesian (Pooled)"
"9389",1000001,0.0104022594494716,14483.4905094905,42,"Bayesian",NA,"Bayesian (Pooled)"
"9642",1000001,0.00654541869018039,18966.5421245421,43,"Bayesian",NA,"Bayesian (Pooled)"
"9923",1000001,0.00542710087039545,16453.6483516484,44,"Bayesian",NA,"Bayesian (Pooled)"
"10176",1000001,0.00869762782650816,17640.2655122655,45,"Bayesian",NA,"Bayesian (Pooled)"
"10373",1000001,0.0022830285855502,16016.2568859712,46,"Bayesian",NA,"Bayesian (Pooled)"
"10598",1000001,-0.000430949058853026,19076.9453046953,47,"Bayesian",NA,"Bayesian (Pooled)"
"10851",1000001,0.0221209932819043,16769.046953047,48,"Bayesian",NA,"Bayesian (Pooled)"
"11048",1000001,0.000446168146926611,13516.6796061082,49,"Bayesian",NA,"Bayesian (Pooled)"
"11329",1000001,-0.0034638366117822,18312.028971029,4,"Bayesian",NA,"Bayesian (Pooled)"
"11582",1000001,0.00173507173825605,14158.2877122877,50,"Bayesian",NA,"Bayesian (Pooled)"
"11807",1000001,-6.64174220724059e-05,17143.9507992008,51,"Bayesian",NA,"Bayesian (Pooled)"
"12060",1000001,0.0782589888765588,13121.8132978133,52,"Bayesian",NA,"Bayesian (Pooled)"
"12341",1000001,0.00377572841996915,19293.4157842158,53,"Bayesian",NA,"Bayesian (Pooled)"
"12622",1000001,0.0141133811934572,18756.9714285714,54,"Bayesian",NA,"Bayesian (Pooled)"
"12875",1000001,0.0403444760031251,13023.108003108,55,"Bayesian",NA,"Bayesian (Pooled)"
"13128",1000001,0.00343461202854053,17745.8816738817,56,"Bayesian",NA,"Bayesian (Pooled)"
"13409",1000001,0.00520283102915925,15550.020979021,57,"Bayesian",NA,"Bayesian (Pooled)"
"13634",1000001,-0.000794062989326586,18229.8888611389,58,"Bayesian",NA,"Bayesian (Pooled)"
"13887",1000001,-0.00174132951171405,16896.8795648796,59,"Bayesian",NA,"Bayesian (Pooled)"
"14140",1000001,0.000313404293731142,17290.6631146631,5,"Bayesian",NA,"Bayesian (Pooled)"
"14421",1000001,0.0056885365546625,17459.2403596404,60,"Bayesian",NA,"Bayesian (Pooled)"
"14646",1000001,-0.0013045252388836,16360.5969030969,61,"Bayesian",NA,"Bayesian (Pooled)"
"14899",1000001,0.00509406656049352,17261.2958152958,62,"Bayesian",NA,"Bayesian (Pooled)"
"15152",1000001,0.0179559122265066,16877.9496059496,63,"Bayesian",NA,"Bayesian (Pooled)"
"15433",1000001,0.00175310996772588,18590.0873126873,64,"Bayesian",NA,"Bayesian (Pooled)"
"15686",1000001,-0.00119112900131055,18167.9922299922,65,"Bayesian",NA,"Bayesian (Pooled)"
"15939",1000001,0.00108402019367428,14803.2574092574,66,"Bayesian",NA,"Bayesian (Pooled)"
"16220",1000001,0.000725360891411168,15072.383016983,67,"Bayesian",NA,"Bayesian (Pooled)"
"16417",1000001,-0.00577232906765866,16610.8191808192,68,"Bayesian",NA,"Bayesian (Pooled)"
"16670",1000001,0.00492185807241238,18249.0298590299,69,"Bayesian",NA,"Bayesian (Pooled)"
"16923",1000001,-7.76600331919486e-05,18761.5031635032,6,"Bayesian",NA,"Bayesian (Pooled)"
"17176",1000001,0.0103642364455562,14663.1202131202,70,"Bayesian",NA,"Bayesian (Pooled)"
"17457",1000001,0.00729573847859714,15702.6511488511,71,"Bayesian",NA,"Bayesian (Pooled)"
"17738",1000001,0.00379244348842858,18745.78001998,72,"Bayesian",NA,"Bayesian (Pooled)"
"17963",1000001,0.00843367184904353,15323.1451048951,73,"Bayesian",NA,"Bayesian (Pooled)"
"18244",1000001,0.00555170367890842,18796.7476523477,74,"Bayesian",NA,"Bayesian (Pooled)"
"18469",1000001,-0.00212116841652647,18061.6913086913,75,"Bayesian",NA,"Bayesian (Pooled)"
"18750",1000001,0.00820414341769885,14721.996003996,76,"Bayesian",NA,"Bayesian (Pooled)"
"19003",1000001,0.00105735179525465,16754.297036297,77,"Bayesian",NA,"Bayesian (Pooled)"
"19256",1000001,0.000284887965264045,17618.1378621379,78,"Bayesian",NA,"Bayesian (Pooled)"
"19453",1000001,0.00183006338926993,17998.81147424,79,"Bayesian",NA,"Bayesian (Pooled)"
"19734",1000001,-0.00114410391247632,17709.1528471528,7,"Bayesian",NA,"Bayesian (Pooled)"
"20015",1000001,0.00140256019825084,17665.3200799201,80,"Bayesian",NA,"Bayesian (Pooled)"
"20240",1000001,0.00193531834693106,15326.3319180819,81,"Bayesian",NA,"Bayesian (Pooled)"
"20437",1000001,0.00810264826755648,17714.0042814329,82,"Bayesian",NA,"Bayesian (Pooled)"
"20690",1000001,0.0524621460308074,12805.7122877123,83,"Bayesian",NA,"Bayesian (Pooled)"
"20971",1000001,0.0571846449430549,11333.4817182817,84,"Bayesian",NA,"Bayesian (Pooled)"
"21224",1000001,0.00646133258146098,17116.810966811,85,"Bayesian",NA,"Bayesian (Pooled)"
"21477",1000001,-0.0101184745522146,14776.7614607615,86,"Bayesian",NA,"Bayesian (Pooled)"
"21758",1000001,0.00490125403620066,17574.6711288711,87,"Bayesian",NA,"Bayesian (Pooled)"
"22039",1000001,0.00710673077961368,18142.8569430569,88,"Bayesian",NA,"Bayesian (Pooled)"
"22320",1000001,-0.00603595644249926,18173.776023976,89,"Bayesian",NA,"Bayesian (Pooled)"
"22601",1000001,-0.00300186506494158,17647.0683316683,8,"Bayesian",NA,"Bayesian (Pooled)"
"22882",1000001,0.0251522790241986,17754.4057942058,90,"Bayesian",NA,"Bayesian (Pooled)"
"23163",1000001,0.000306758683445973,15643.9858141858,91,"Bayesian",NA,"Bayesian (Pooled)"
"23444",1000001,-0.00343332597499102,17735.9232767233,92,"Bayesian",NA,"Bayesian (Pooled)"
