"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"253",1000001,0,9500.62826062826,100,"Bayesian",NA,"Bayesian (Pooled)"
"534",1000001,0,9504.81258741259,10,"Bayesian",NA,"Bayesian (Pooled)"
"815",1000001,0,9508.17482517482,11,"Bayesian",NA,"Bayesian (Pooled)"
"1096",1000001,0,9496.84855144855,12,"Bayesian",NA,"Bayesian (Pooled)"
"1377",1000001,0,9503.25514485515,13,"Bayesian",NA,"Bayesian (Pooled)"
"1602",1000001,0,9502.81368631369,14,"Bayesian",NA,"Bayesian (Pooled)"
"1883",1000001,0,9504.74745254745,15,"Bayesian",NA,"Bayesian (Pooled)"
"2108",1000001,0,9504.24075924076,16,"Bayesian",NA,"Bayesian (Pooled)"
"2389",1000001,0,9500.43296703297,17,"Bayesian",NA,"Bayesian (Pooled)"
"2614",1000001,0,9504.00949050949,18,"Bayesian",NA,"Bayesian (Pooled)"
"2867",1000001,0,9503.49206349206,19,"Bayesian",NA,"Bayesian (Pooled)"
"3148",1000001,0,9505.75584415584,1,"Bayesian",NA,"Bayesian (Pooled)"
"3345",1000001,0,9500.11103182532,20,"Bayesian",NA,"Bayesian (Pooled)"
"3626",1000001,0,9505.37082917083,21,"Bayesian",NA,"Bayesian (Pooled)"
"3907",1000001,0,9503.80999000999,22,"Bayesian",NA,"Bayesian (Pooled)"
"4160",1000001,0,9507.88478188478,23,"Bayesian",NA,"Bayesian (Pooled)"
"4413",1000001,0,9508.31879231879,24,"Bayesian",NA,"Bayesian (Pooled)"
"4694",1000001,0,9508.97562437562,25,"Bayesian",NA,"Bayesian (Pooled)"
"4975",1000001,0,9502.14525474526,26,"Bayesian",NA,"Bayesian (Pooled)"
"5200",1000001,0,9510.03996003996,27,"Bayesian",NA,"Bayesian (Pooled)"
"5397",1000001,0,9503.91808191808,28,"Bayesian",NA,"Bayesian (Pooled)"
"5678",1000001,0,9511.31468531468,29,"Bayesian",NA,"Bayesian (Pooled)"
"5931",1000001,0,9504.23221223221,2,"Bayesian",NA,"Bayesian (Pooled)"
"6212",1000001,0,9498.87052947053,30,"Bayesian",NA,"Bayesian (Pooled)"
"6493",1000001,0,9504.32127872128,31,"Bayesian",NA,"Bayesian (Pooled)"
"6746",1000001,0,9506.44622044622,32,"Bayesian",NA,"Bayesian (Pooled)"
"7027",1000001,0,9504.96543456543,33,"Bayesian",NA,"Bayesian (Pooled)"
"7308",1000001,0,9501.1994005994,34,"Bayesian",NA,"Bayesian (Pooled)"
"7561",1000001,0,9505.22788322788,35,"Bayesian",NA,"Bayesian (Pooled)"
"7842",1000001,0,9499.48331668332,36,"Bayesian",NA,"Bayesian (Pooled)"
"8123",1000001,0,9507.46153846154,37,"Bayesian",NA,"Bayesian (Pooled)"
"8404",1000001,0,9504.12487512487,38,"Bayesian",NA,"Bayesian (Pooled)"
"8657",1000001,0,9505.62037962038,39,"Bayesian",NA,"Bayesian (Pooled)"
"8882",1000001,0,9502.59115884116,3,"Bayesian",NA,"Bayesian (Pooled)"
"9135",1000001,0,9500.13586413586,40,"Bayesian",NA,"Bayesian (Pooled)"
"9360",1000001,0,9505.06243756244,41,"Bayesian",NA,"Bayesian (Pooled)"
"9613",1000001,0,9505.58818958819,42,"Bayesian",NA,"Bayesian (Pooled)"
"9894",1000001,0,9508.34185814186,43,"Bayesian",NA,"Bayesian (Pooled)"
"10175",1000001,0,9504.80839160839,44,"Bayesian",NA,"Bayesian (Pooled)"
"10428",1000001,0,9498.13431013431,45,"Bayesian",NA,"Bayesian (Pooled)"
"10681",1000001,0,9504.2350982351,46,"Bayesian",NA,"Bayesian (Pooled)"
"10906",1000001,0,9505.71303696304,47,"Bayesian",NA,"Bayesian (Pooled)"
"11159",1000001,0,9506.9938949939,48,"Bayesian",NA,"Bayesian (Pooled)"
"11412",1000001,0,9505.94782994783,49,"Bayesian",NA,"Bayesian (Pooled)"
"11637",1000001,0,9507.47027972028,4,"Bayesian",NA,"Bayesian (Pooled)"
"11862",1000001,0,9503.91308691309,50,"Bayesian",NA,"Bayesian (Pooled)"
"12115",1000001,0,9498.1221001221,51,"Bayesian",NA,"Bayesian (Pooled)"
"12396",1000001,0,9508.08631368631,52,"Bayesian",NA,"Bayesian (Pooled)"
"12649",1000001,0,9502.94483294483,53,"Bayesian",NA,"Bayesian (Pooled)"
"12930",1000001,0,9504.48591408591,54,"Bayesian",NA,"Bayesian (Pooled)"
"13183",1000001,0,9499.66566766567,55,"Bayesian",NA,"Bayesian (Pooled)"
"13464",1000001,0,9507.602997003,56,"Bayesian",NA,"Bayesian (Pooled)"
"13745",1000001,0,9498.85454545455,57,"Bayesian",NA,"Bayesian (Pooled)"
"14026",1000001,0,9496.57482517482,58,"Bayesian",NA,"Bayesian (Pooled)"
"14307",1000001,0,9503.27352647353,59,"Bayesian",NA,"Bayesian (Pooled)"
"14588",1000001,0,9508.11088911089,5,"Bayesian",NA,"Bayesian (Pooled)"
"14869",1000001,0,9500.96003996004,60,"Bayesian",NA,"Bayesian (Pooled)"
