"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"225",1000001,0.733755179974268,2157.07567432567,100,"Bayesian",NA,"Bayesian (Pooled)"
"478",1000001,0.469218476523857,2082.52547452547,10,"Bayesian",NA,"Bayesian (Pooled)"
"759",1000001,0.599657132368313,2046.28111888112,11,"Bayesian",NA,"Bayesian (Pooled)"
"1012",1000001,0.890715851165737,1890.27239427239,12,"Bayesian",NA,"Bayesian (Pooled)"
"1293",1000001,0.854366649591559,2039.2,13,"Bayesian",NA,"Bayesian (Pooled)"
"1546",1000001,0.619361509629055,2060.00355200355,14,"Bayesian",NA,"Bayesian (Pooled)"
"1799",1000001,0.442941762406691,2225.92296592297,15,"Bayesian",NA,"Bayesian (Pooled)"
"2080",1000001,0.594620658618013,1987.3004995005,16,"Bayesian",NA,"Bayesian (Pooled)"
"2361",1000001,0.646673438832828,2024.86553446553,17,"Bayesian",NA,"Bayesian (Pooled)"
"2642",1000001,0.623751617076326,1935.57802197802,18,"Bayesian",NA,"Bayesian (Pooled)"
"2895",1000001,0.642526839788095,2046.52147852148,19,"Bayesian",NA,"Bayesian (Pooled)"
"3120",1000001,0.592944652738094,2064.59315684316,1,"Bayesian",NA,"Bayesian (Pooled)"
"3345",1000001,0.882008102386862,2014.5541958042,20,"Bayesian",NA,"Bayesian (Pooled)"
"3598",1000001,0.663765624798903,2119.49472749473,21,"Bayesian",NA,"Bayesian (Pooled)"
"3879",1000001,0.911151759838895,2015.83696303696,22,"Bayesian",NA,"Bayesian (Pooled)"
"4160",1000001,0.478331053891271,2066.84335664336,23,"Bayesian",NA,"Bayesian (Pooled)"
"4441",1000001,0.618441787878072,2129.50609390609,24,"Bayesian",NA,"Bayesian (Pooled)"
"4694",1000001,0.668089141773352,2043.6075036075,25,"Bayesian",NA,"Bayesian (Pooled)"
"4947",1000001,0.73124077640808,2020.13808413808,26,"Bayesian",NA,"Bayesian (Pooled)"
"5200",1000001,0.729894801133073,2098.02086802087,27,"Bayesian",NA,"Bayesian (Pooled)"
"5453",1000001,0.88470988678141,2018.44178044178,28,"Bayesian",NA,"Bayesian (Pooled)"
"5706",1000001,0.683437759182769,2018.94616494617,29,"Bayesian",NA,"Bayesian (Pooled)"
"5959",1000001,0.410686047342016,2083.06071706072,2,"Bayesian",NA,"Bayesian (Pooled)"
"6240",1000001,0.908858620517067,2110.26653346653,30,"Bayesian",NA,"Bayesian (Pooled)"
"6493",1000001,0.443896593476551,2136.94594294594,31,"Bayesian",NA,"Bayesian (Pooled)"
"6774",1000001,0.90656967492612,2007.98381618382,32,"Bayesian",NA,"Bayesian (Pooled)"
"6999",1000001,0.735440957068206,2040.74425574426,33,"Bayesian",NA,"Bayesian (Pooled)"
"7280",1000001,0.517433765067507,2039.42437562438,34,"Bayesian",NA,"Bayesian (Pooled)"
"7561",1000001,0.591316987614574,2116.36823176823,35,"Bayesian",NA,"Bayesian (Pooled)"
"7758",1000001,0.593444493322165,1984.30398173255,36,"Bayesian",NA,"Bayesian (Pooled)"
"8011",1000001,0.492676451539201,2032.35808635809,37,"Bayesian",NA,"Bayesian (Pooled)"
"8264",1000001,0.554671693791778,1997.9758019758,38,"Bayesian",NA,"Bayesian (Pooled)"
"8517",1000001,0.922713253069439,2080.23554223554,39,"Bayesian",NA,"Bayesian (Pooled)"
"8742",1000001,0.878144378385738,2056.10514485514,3,"Bayesian",NA,"Bayesian (Pooled)"
"8967",1000001,0.562077077156552,2064.50749250749,40,"Bayesian",NA,"Bayesian (Pooled)"
"9248",1000001,0.688695728976615,1959.38361638362,41,"Bayesian",NA,"Bayesian (Pooled)"
"9529",1000001,0.537667120326635,2038.85274725275,42,"Bayesian",NA,"Bayesian (Pooled)"
"9810",1000001,0.533982670046975,2009.6985014985,43,"Bayesian",NA,"Bayesian (Pooled)"
"10091",1000001,0.460058281289802,2157.93166833167,44,"Bayesian",NA,"Bayesian (Pooled)"
"10372",1000001,0.66241447871919,2100.44315684316,45,"Bayesian",NA,"Bayesian (Pooled)"
"10653",1000001,0.911035061859177,2005.17102897103,46,"Bayesian",NA,"Bayesian (Pooled)"
"10906",1000001,0.596642672076903,1917.26162726163,47,"Bayesian",NA,"Bayesian (Pooled)"
"11159",1000001,0.650539143879734,2008.8455988456,48,"Bayesian",NA,"Bayesian (Pooled)"
"11440",1000001,0.546216591253201,2019.13666333666,49,"Bayesian",NA,"Bayesian (Pooled)"
"11721",1000001,0.907401601865205,1877.47652347652,4,"Bayesian",NA,"Bayesian (Pooled)"
"12002",1000001,0.673973047778707,2098.21098901099,50,"Bayesian",NA,"Bayesian (Pooled)"
"12283",1000001,0.551941138125851,2015.56843156843,51,"Bayesian",NA,"Bayesian (Pooled)"
"12564",1000001,0.743140679720774,2009.75424575425,52,"Bayesian",NA,"Bayesian (Pooled)"
"12789",1000001,0.721268665390666,2107.45754245754,53,"Bayesian",NA,"Bayesian (Pooled)"
"12986",1000001,0.589734983663377,2082.77693734837,54,"Bayesian",NA,"Bayesian (Pooled)"
"13239",1000001,0.614810110731472,2066.64912864913,55,"Bayesian",NA,"Bayesian (Pooled)"
"13464",1000001,0.529423360313862,2053.66258741259,56,"Bayesian",NA,"Bayesian (Pooled)"
"13689",1000001,0.630915287918031,2013.3479020979,57,"Bayesian",NA,"Bayesian (Pooled)"
"13942",1000001,0.565261051129871,2079.89255189255,58,"Bayesian",NA,"Bayesian (Pooled)"
"14167",1000001,0.628587393749215,2041.44555444555,59,"Bayesian",NA,"Bayesian (Pooled)"
"14448",1000001,0.812455204869984,2062.39140859141,5,"Bayesian",NA,"Bayesian (Pooled)"
"14701",1000001,0.564523695551378,2011.06182706183,60,"Bayesian",NA,"Bayesian (Pooled)"
"14982",1000001,0.639994190815352,1954.0001998002,61,"Bayesian",NA,"Bayesian (Pooled)"
"15263",1000001,0.741058806678416,2029.86153846154,62,"Bayesian",NA,"Bayesian (Pooled)"
"15516",1000001,0.786925287318027,2026.1573981574,63,"Bayesian",NA,"Bayesian (Pooled)"
"15769",1000001,0.492945226439178,2078.30125430125,64,"Bayesian",NA,"Bayesian (Pooled)"
