"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"281",1000001,-0.0254117470810198,506.4,100,"Bayesian",NA,"Bayesian (Pooled)"
"562",1000001,-0.038127841948466,513.6,10,"Bayesian",NA,"Bayesian (Pooled)"
"843",1000001,-0.020044013560935,522.8,11,"Bayesian",NA,"Bayesian (Pooled)"
"1124",1000001,-0.0222213943785274,516.4,12,"Bayesian",NA,"Bayesian (Pooled)"
"1405",1000001,-0.0152615899231694,516,13,"Bayesian",NA,"Bayesian (Pooled)"
"1686",1000001,-0.0228121218362986,540,14,"Bayesian",NA,"Bayesian (Pooled)"
"1967",1000001,-0.0245977814786178,523.6,15,"Bayesian",NA,"Bayesian (Pooled)"
"2248",1000001,-0.0157795025131228,488.4,16,"Bayesian",NA,"Bayesian (Pooled)"
"2529",1000001,-0.0350243399195017,527.2,17,"Bayesian",NA,"Bayesian (Pooled)"
"2810",1000001,-0.0210293922956869,518.8,18,"Bayesian",NA,"Bayesian (Pooled)"
"3091",1000001,-0.0176579060107661,520,19,"Bayesian",NA,"Bayesian (Pooled)"
"3372",1000001,-0.0174380539416138,512.8,20,"Bayesian",NA,"Bayesian (Pooled)"
"3653",1000001,-0.0138235443147249,503.2,21,"Bayesian",NA,"Bayesian (Pooled)"
"3934",1000001,-0.043142494292447,541.6,22,"Bayesian",NA,"Bayesian (Pooled)"
"4215",1000001,-0.0101856384380766,500,23,"Bayesian",NA,"Bayesian (Pooled)"
"4496",1000001,-0.00904231938447219,532.4,24,"Bayesian",NA,"Bayesian (Pooled)"
"4777",1000001,-0.0257821827033229,524.4,25,"Bayesian",NA,"Bayesian (Pooled)"
"5058",1000001,-0.0208631831340098,550,26,"Bayesian",NA,"Bayesian (Pooled)"
"5339",1000001,-0.0368127403309318,506.8,27,"Bayesian",NA,"Bayesian (Pooled)"
"5620",1000001,-0.027617061924449,504,28,"Bayesian",NA,"Bayesian (Pooled)"
"5901",1000001,-0.0311354079363839,560.4,29,"Bayesian",NA,"Bayesian (Pooled)"
"6182",1000001,-0.035770271129751,513.6,2,"Bayesian",NA,"Bayesian (Pooled)"
"6463",1000001,-0.0421030678123931,545.6,30,"Bayesian",NA,"Bayesian (Pooled)"
"6744",1000001,-0.0206609750189028,543.6,31,"Bayesian",NA,"Bayesian (Pooled)"
"7025",1000001,-0.00557291862785705,494.4,32,"Bayesian",NA,"Bayesian (Pooled)"
"7306",1000001,-0.034734484809723,515.6,33,"Bayesian",NA,"Bayesian (Pooled)"
"7587",1000001,-0.0286365176789547,495.6,34,"Bayesian",NA,"Bayesian (Pooled)"
"7868",1000001,-0.0372219700408534,524,35,"Bayesian",NA,"Bayesian (Pooled)"
"8149",1000001,-0.0385182454847032,531.2,36,"Bayesian",NA,"Bayesian (Pooled)"
"8430",1000001,-0.0164610281243416,518,37,"Bayesian",NA,"Bayesian (Pooled)"
"8711",1000001,-0.0398009038160102,544,38,"Bayesian",NA,"Bayesian (Pooled)"
"8992",1000001,-0.0135671728346268,534.4,39,"Bayesian",NA,"Bayesian (Pooled)"
"9273",1000001,-0.0126135197995063,502,3,"Bayesian",NA,"Bayesian (Pooled)"
"9554",1000001,-0.0188522317715553,522.4,40,"Bayesian",NA,"Bayesian (Pooled)"
"9835",1000001,-0.0361914400853997,530,41,"Bayesian",NA,"Bayesian (Pooled)"
"10116",1000001,-0.0257028316248858,568.4,42,"Bayesian",NA,"Bayesian (Pooled)"
"10397",1000001,-0.020044013560935,524,43,"Bayesian",NA,"Bayesian (Pooled)"
"10678",1000001,-0.0126147654614644,538.4,44,"Bayesian",NA,"Bayesian (Pooled)"
"10959",1000001,-0.014563730977521,493.2,45,"Bayesian",NA,"Bayesian (Pooled)"
"11240",1000001,-0.0228208689948678,498.4,46,"Bayesian",NA,"Bayesian (Pooled)"
"11521",1000001,-0.035770271129751,510.8,47,"Bayesian",NA,"Bayesian (Pooled)"
"11802",1000001,4.36324763793697e-05,560.4,48,"Bayesian",NA,"Bayesian (Pooled)"
"12083",1000001,7.38751583697511e-06,527.6,49,"Bayesian",NA,"Bayesian (Pooled)"
"12364",1000001,-0.0268565976452952,568.8,4,"Bayesian",NA,"Bayesian (Pooled)"
"12645",1000001,0.00663472171028385,537.6,50,"Bayesian",NA,"Bayesian (Pooled)"
