"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"225",1000001,0.994307010638201,140.225024975025,14,"Bayesian",NA,"Bayesian (Pooled)"
"422",1000001,1,206.635079206508,32,"Bayesian",NA,"Bayesian (Pooled)"
"591",1000001,1,92.5611055611056,6,"Bayesian",NA,"Bayesian (Pooled)"
"788",1000001,1,72.2123590695022,75,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.487539861355169,10290,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.705078326792692,5040,100,"Consensus",1,"Consensus (10, 1)"
"3",100,1,0,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,1,0,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.98858270016633,210,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.477387082479348,10387,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,2533.6,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,63,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,149.6,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,139.6,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.513769234934978,10214,100,"Consensus",30,"Consensus (1, 30)"
"12",10,1,1898.66666666667,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,85.5333333333335,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,92.6000000000001,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,138.266666666667,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.558375583020318,10247,100,"Consensus",50,"Consensus (1, 50)"
"17",10,1,2107.32,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,77.1600000000001,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,65.1999999999999,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,127.56,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.60204232396931,10159.72,100,"Consensus",100,"Consensus (1, 100)"
"22",10,1,2330.54,100,"Consensus",100,"Consensus (10, 100)"
"23",100,1,73.6800000000001,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,1,78.9000000000001,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,1,109.42,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.484983942422021,8036,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.874386307504039,2184,10,"Consensus",1,"Consensus (10, 1)"
"28",100,1,0,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,1,0,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,1,0,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.648869095411916,9078.6,10,"Consensus",10,"Consensus (1, 10)"
"32",10,1,1302.8,10,"Consensus",10,"Consensus (10, 10)"
"33",100,1,80.4,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,20.4,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,1,61,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.714591354948359,9621.46666666667,10,"Consensus",30,"Consensus (1, 30)"
"37",10,1,1419.46666666667,10,"Consensus",30,"Consensus (10, 30)"
"38",100,1,40.4000000000001,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,7.60000000000002,10,"Consensus",30,"Consensus (1000, 30)"
