ProbeID,Exome,Chr,Strand,From,To,Gene,Type,Max_MAF,Comment,Extra_Comment,CHR,TxStart,TxEnd,Gene_strand
4760377,exome,chr13,-,101183951,101184000,GGACT,exonic,,GOOD,NO,13,101182417,101241046,-
6480136,exome,chr3,-,137843207,137843256,A4GNT,exonic,,GOOD,NO,3,137842559,137851229,-
60689,exome,chr12,-,53701328,53701377,AAAS,exonic,,GOOD,NO,12,53701239,53715412,-
1580504,exome,chr12,+,125627584,125627633,AACS,exonic,,GOOD,NO,12,125549912,125627879,+
4570132,exome,chr5,-,178192064,178192113,AACSP1,exonic,,GOOD,NO,5,178191861,178245436,-
7210327,exome,chr3,-,172348570,172348619,NCEH1,exonic,,GOOD,NO,3,172348434,172429008,-
7650020,exome,chr3,-,172348986,172349035,NCEH1,exonic,,GOOD,NO,3,172348434,172429008,-
1170332,exome,chr2,-,69691422,69691471,AAK1,exonic,,GOOD,NO,2,69685126,69870977,-
4610048,exome,chr2,-,219129113,219129162,AAMP,exonic,,GOOD,NO,2,219128851,219134932,-
290603,exome,chr16,-,70286329,70286378,AARS,exonic,,GOOD,NO,16,70286296,70323412,-
540255,exome,chr6,-,44267495,44267544,AARS2,exonic,,GOOD,NO,6,44266462,44281063,-
4150561,exome,chr4,-,57204704,57204753,AASDH,exonic,,GOOD,NO,4,57204450,57253674,-
6060767,exome,chr11,+,105968544,105968593,AASDHPPT,exonic,,GOOD,NO,11,105948291,105969419,+
7040717,exome,chr11,+,105968954,105969003,AASDHPPT,exonic,,GOOD,NO,11,105948291,105969419,+
6020372,exome,chr17,+,35413905,35413954,AATF,exonic,,GOOD,NO,17,35306174,35414171,+
5550132,exome,chr17,-,79091379,79091428,AATK,exonic,,GOOD,NO,17,79091095,79139872,-
7400300,exome,chr17,-,79094379,79094428,AATK,exonic,,GOOD,NO,17,79091095,79139872,-
1230592,exome,chr16,+,8877904,8877953,ABAT,exonic,,GOOD,NO,16,8768443,8878432,+
6580291,exome,chr16,+,8878220,8878269,ABAT,exonic,,GOOD,NO,16,8768443,8878432,+
4060358,exome,chr9,-,107543501,107543550,ABCA1,exonic,,GOOD,NO,9,107543283,107690527,-
2570100,exome,chr19,+,1065127,1065274,ABCA7,exonic,,GOOD,SPLICE,19,1040101,1065570,+
4810048,exome,chr1,-,229652752,229652801,ABCB10,exonic,,GOOD,NO,1,229652328,229694442,-
2810367,exome,chr2,-,220074601,220074650,ABCB6,exonic,,GOOD,NO,2,220074487,220083712,-
6900241,exome,chr12,-,123413569,123413618,ABCB9,exonic,,GOOD,NO,12,123405497,123451056,-
650646,exome,chr6,+,43417889,43417938,ABCC10,exonic,,GOOD,NO,6,43395291,43418163,+
270615,exome,chr17,+,48768788,48768836,ABCC3,exonic,,GOOD,NO,17,48712217,48769063,+
2450201,exome,chr13,-,95672560,95672609,ABCC4,exonic,,GOOD,NO,13,95672082,95953700,-
6110181,exome,chr13,-,95672369,95672418,ABCC4,exonic,,GOOD,NO,13,95672082,95953700,-
6580553,exome,chr3,-,183637872,183637921,ABCC5,exonic,,GOOD,NO,3,183637723,183735748,-
7610050,exome,chr3,-,183701661,183701710,ABCC5,exonic,,GOOD,NO,3,183637723,183735748,-
5310021,exome,chr16,-,16315167,16315216,ABCC6,exonic,,GOOD,NO,16,16243421,16317328,-
1340162,exome,chr16,-,14916739,14916788,ABCC6P2,exonic,,GOOD,NO,16,14916288,14918559,-
3370408,exome,chr12,-,21960374,21962795,ABCC9,exonic,,GOOD,SPLICE,12,21950323,22089628,-
4040025,exome,chr12,-,21960377,21962798,ABCC9,exonic,,GOOD,SPLICE,12,21950323,22089628,-
1580736,exome,chr1,+,94983352,94983401,ABCD3,exonic,,GOOD,NO,1,94883932,94984219,+
1090543,exome,chr4,+,146049778,146049827,ABCE1,exonic,,GOOD,NO,4,146019155,146050676,+
5310152,exome,chr4,+,146049799,146049848,ABCE1,exonic,,GOOD,NO,4,146019155,146050676,+
2190273,exome,chr6,+,30558750,30558799,ABCF1,exonic,,GOOD,NO,6,30539169,30559309,+
7380113,exome,chr6,+,30558969,30559018,ABCF1,exonic,,GOOD,NO,6,30539169,30559309,+
5420142,exome,chr7,-,150911180,150911229,ABCF2,exonic,,GOOD,NO,7,150904922,150924460,-
7100039,exome,chr7,-,150909819,150909868,ABCF2,exonic,,GOOD,NO,7,150904922,150924460,-
4560689,exome,chr3,+,183911473,183911522,ABCF3,exonic,,GOOD,NO,3,183903862,183911795,+
3440292,exome,chr21,+,43619800,43619849,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+
4540091,exome,chr21,+,43636228,43636277,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+
6060377,exome,chr21,+,43717164,43717213,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+
1300328,exome,chr3,+,111711946,111711995,ABHD10,exonic,,GOOD,NO,3,111697722,111712215,+
1940068,exome,chr7,-,73152694,73152743,ABHD11,exonic,,GOOD,NO,7,73150424,73153197,-
2710615,exome,chr20,-,25275567,25275616,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-
7100615,exome,chr20,-,25282863,25282912,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-
7610382,exome,chr20,-,25281090,25281139,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-
4810600,exome,chr13,+,108884783,108884832,ABHD13,exonic,,GOOD,NO,13,108870762,108886603,+
5870288,exome,chr13,+,108886447,108886496,ABHD13,exonic,,GOOD,NO,13,108870762,108886603,+
1430360,exome,chr3,+,52015010,52015059,ABHD14A,exonic,,GOOD,NO,3,52009041,52015216,+
150064,exome,chr3,-,52002740,52002789,ABHD14B,exonic,,GOOD,NO,3,52002525,52008646,-
5340450,exome,chr17,-,27888550,27888599,ABHD15,exonic,,GOOD,NO,17,27887688,27894042,-
2970201,exome,chr15,+,89738742,89738791,ABHD2,exonic,,GOOD,NO,15,89631380,89745591,+
6900475,exome,chr15,+,89738760,89738809,ABHD2,exonic,,GOOD,NO,15,89631380,89745591,+
5050241,exome,chr18,-,19231604,19231653,ABHD3,exonic,,GOOD,NO,18,19230857,19284766,-
3120014,exome,chr14,+,23080980,23081029,ABHD4,exonic,,GOOD,NO,14,23067146,23081265,+
5860215,exome,chr3,+,43760009,43760058,ABHD5,exonic,,GOOD,NO,3,43732374,43764217,+
2690402,exome,chr3,+,58280126,58280175,ABHD6,exonic,,GOOD,NO,3,58223228,58280463,+
4880288,exome,chr19,-,17402957,17403006,ABHD8,exonic,,GOOD,NO,19,17402939,17414282,-
2710070,exome,chr19,-,15337850,15337899,EPHX3,exonic,,GOOD,NO,19,15337729,15343858,-
5130725,exome,chr10,-,27036214,27036263,ABI1,exonic,,GOOD,NO,10,27035524,27150016,-
2000100,exome,chr2,+,204291991,204292040,ABI2,exonic,,GOOD,NO,2,204192961,204296896,+
3840717,exome,chr17,+,47300372,47300421,ABI3,exonic,,GOOD,NO,17,47287588,47300587,+
4180088,exome,chr9,+,133762931,133762980,ABL1,exonic,,GOOD,NO,9,133589267,133763062,+
4590440,exome,chr9,+,133589618,133589667,ABL1,exonic,,GOOD,NO,9,133589267,133763062,+
620240,exome,chr17,-,906942,906991,ABR,exonic,,GOOD,NO,17,906757,1132974,-
6480392,exome,chr6,+,26599859,26599908,ABT1,exonic,,GOOD,NO,6,26597170,26600277,+
2970044,exome,chr3,+,127399706,127399755,ABTB1,exonic,,GOOD,NO,3,127391780,127399769,+
6620609,exome,chr3,+,127399281,127399330,ABTB1,exonic,,GOOD,NO,3,127391780,127399769,+
3520753,exome,chr3,-,38164590,38167081,ACAA1,exonic,,GOOD,SPLICE,3,38164200,38178733,-
1450093,exome,chr18,-,47310122,47310171,ACAA2,exonic,,GOOD,NO,18,47309873,47340251,-
2190414,exome,chr17,-,35442044,35442093,ACACA,exonic,,GOOD,NO,17,35441926,35766902,-
2630692,exome,chr17,-,35442111,35442160,ACACA,exonic,,GOOD,NO,17,35441926,35766902,-
6560327,exome,chr12,+,112194744,112194793,ACAD10,exonic,,GOOD,NO,12,112123856,112194911,+
730671,exome,chr11,+,134135266,134135315,ACAD8,exonic,,GOOD,NO,11,134123433,134135746,+
2650324,exome,chr11,+,134135475,134135524,ACAD8,exonic,,GOOD,NO,11,134123433,134135746,+
5340561,exome,chr3,+,128631728,128631777,ACAD9,exonic,,GOOD,NO,3,128598332,128631957,+
430139,exome,chr1,+,76226858,76226907,ACADM,exonic,,GOOD,NO,1,76190031,76229363,+
110441,exome,chr12,+,121177447,121177497,ACADS,exonic,,GOOD,NO,12,121163540,121177811,+
1170647,exome,chr17,+,7128431,7128480,ACADVL,exonic,,GOOD,NO,17,7120443,7128586,+
1240551,exome,chr17,+,7127961,7128010,ACADVL,exonic,,GOOD,NO,17,7120443,7128586,+
7210682,exome,chr17,+,7253543,7254304,ACAP1,exonic,,GOOD,SPLICE,17,7239847,7254793,+
4280026,exome,chr3,-,194996610,194996659,ACAP2,exonic,,GOOD,NO,3,194995464,195163817,-
2070605,exome,chr11,+,108017084,108018043,ACAT1,exonic,,GOOD,SPLICE,11,107992257,108018891,+
7330753,exome,chr6,+,160198400,160198449,ACAT2,exonic,,GOOD,NO,6,160182988,160200144,+
5890112,exome,chr1,-,226332760,226332809,ACBD3,exonic,,GOOD,NO,1,226332379,226374423,-
70068,exome,chr17,+,43221291,43221340,ACBD4,exonic,,GOOD,NO,17,43209966,43221548,+
150156,exome,chr10,-,27485778,27485827,ACBD5,exonic,,GOOD,NO,10,27484142,27531068,-
870349,exome,chr1,-,180257537,180257586,ACBD6,exonic,,GOOD,NO,1,180257351,180472022,-
3390379,exome,chr11,+,44105488,44105537,ACCS,exonic,,GOOD,NO,11,44087728,44105569,+
1300154,exome,chr16,-,67691683,67691732,ACD,exonic,,GOOD,NO,16,67691414,67694718,-
520500,exome,chr9,+,19452180,19452229,ACER2,exonic,,GOOD,NO,9,19408924,19452500,+
2360228,exome,chr11,+,76734692,76734741,ACER3,exonic,,GOOD,NO,11,76571916,76737841,+
4860204,exome,chr14,-,23528027,23528076,ACIN1,exonic,,GOOD,NO,14,23527773,23564823,-
4200259,exome,chr17,-,40023226,40023275,ACLY,exonic,,GOOD,NO,17,40023169,40075275,-
4290279,exome,chr17,-,40023729,40023778,ACLY,exonic,,GOOD,NO,17,40023169,40075275,-
520575,exome,chr7,+,96747106,96747155,SDHAF3,exonic,,GOOD,NO,7,96745904,96811075,+
6040088,exome,chr7,+,96810969,96811018,SDHAF3,exonic,,GOOD,NO,7,96745904,96811075,+
2450608,exome,chr9,+,32450621,32450670,ACO1,exonic,,GOOD,NO,9,32384600,32450832,+
3930639,exome,chr22,+,41923399,41923928,ACO2,exonic,,GOOD,SPLICE,22,41865128,41924993,+
4290050,exome,chr1,-,6324345,6324394,ACOT7,exonic,,GOOD,NO,1,6324331,6453826,-
2900291,exome,chr20,-,44472965,44473014,ACOT8,exonic,,GOOD,NO,20,44470359,44486048,-
1010114,exome,chr3,-,58491006,58494661,ACOX2,exonic,,GOOD,SPLICE,3,58490862,58522929,-
4540010,exome,chr4,-,8368527,8368575,ACOX3,exonic,,GOOD,NO,4,8368008,8442452,-
1500152,exome,chr2,+,277740,277789,ACP1,exonic,,GOOD,NO,2,264868,278282,+
6110672,exome,chr2,+,264956,265005,ACP1,exonic,,GOOD,NO,2,264868,278282,+
2480025,exome,chr11,-,47261047,47261096,ACP2,exonic,,GOOD,NO,11,47260852,47270398,-
7050082,exome,chr19,-,11685717,11685766,ACP5,exonic,,GOOD,NO,19,11685474,11689823,-
3800538,exome,chr3,+,141012663,141012712,PXYLP1,exonic,,GOOD,NO,3,140950666,141013745,+
5720537,exome,chr3,+,141012655,141012704,PXYLP1,exonic,,GOOD,NO,3,140950666,141013745,+
2680725,exome,chr3,+,132077239,132077288,ACPP,exonic,,GOOD,NO,3,132036210,132087146,+
2690369,exome,chr19,+,51298044,51298093,ACPT,exonic,,GOOD,NO,19,51293671,51298481,+
7510253,exome,chr12,-,6747485,6747534,ACRBP,exonic,,GOOD,NO,12,6747241,6756580,-
2810253,exome,chr17,+,48552029,48552078,ACSF2,exonic,,GOOD,NO,17,48503518,48552206,+
1030431,exome,chr4,-,185676952,185677001,ACSL1,exonic,,GOOD,NO,4,185676748,185747268,-
1580524,exome,chr2,+,223806569,223806618,ACSL3,exonic,,GOOD,NO,2,223725731,223808119,+
3440367,exome,chr2,+,223765414,223765463,ACSL3,exonic,,GOOD,NO,2,223725731,223808119,+
3930593,exome,chr2,+,223807860,223807909,ACSL3,exonic,,GOOD,NO,2,223725731,223808119,+
620577,exome,chr10,+,114187426,114187475,ACSL5,exonic,,GOOD,NO,10,114133915,114188138,+
7040286,exome,chr10,+,114188022,114188071,ACSL5,exonic,,GOOD,NO,10,114133915,114188138,+
6580735,exome,chr16,+,20803589,20803638,ACSM3,exonic,,GOOD,NO,16,20775311,20808479,+
5220377,exome,chr20,-,24987105,24987154,ACSS1,exonic,,GOOD,NO,20,24986865,25038818,-
4490524,exome,chr20,+,33515702,33515751,ACSS2,exonic,,GOOD,NO,20,33462765,33515769,+
4670544,exome,chr20,+,33515709,33515758,ACSS2,exonic,,GOOD,NO,20,33462765,33515769,+
6480059,exome,chr10,-,90694928,90694977,ACTA2,exonic,,GOOD,NO,10,90694830,90751154,-
4610390,exome,chr7,-,5567014,5567063,ACTB,exonic,,GOOD,NO,7,5566778,5570232,-
5270730,exome,chr7,-,5568077,5568126,ACTB,exonic,,GOOD,NO,7,5566778,5570232,-
5570132,exome,chr7,-,5567057,5567106,ACTB,exonic,,GOOD,NO,7,5566778,5570232,-
3310424,exome,chr17,-,79477265,79477314,ACTG1,exonic,,GOOD,NO,17,79476996,79479892,-
6510072,exome,chr17,-,79479350,79479772,ACTG1,exonic,,GOOD,SPLICE,17,79476996,79479892,-
5080603,exome,chr3,+,179304377,179305723,ACTL6A,exonic,,GOOD,SPLICE,3,179280667,179306193,+
5080364,exome,chr14,-,69341410,69341459,ACTN1,exonic,,GOOD,NO,14,69340839,69446083,-
270437,exome,chr19,+,39220591,39220640,ACTN4,exonic,,GOOD,NO,19,39138255,39221172,+
2630064,exome,chr14,+,58698949,58701100,ACTR10,exonic,,GOOD,SPLICE,14,58666832,58702353,+
4280561,exome,chr10,-,104239011,104239060,ACTR1A,exonic,,GOOD,NO,10,104238985,104262512,-
2120088,exome,chr2,-,98272657,98272706,ACTR1B,exonic,,GOOD,NO,2,98272401,98280561,-
5570196,exome,chr2,+,65497703,65497752,ACTR2,exonic,,GOOD,NO,2,65454828,65498390,+
