ProbeID,Exome,Chr,Strand,From,To,Gene,Type,Max_MAF,Comment,Extra_Comment,CHR,TxStart,TxEnd,Gene_strand
2480717,exome,chr1,+,161648212,161648261,FCGR2B,exonic,,GOOD,NO,1,161632904,161648444,+
1300239,exome,chr11,+,35829494,35829543,TRIM44,exonic,,GOOD,NO,11,35684299,35832603,+
6020725,exome,chrX,+,69459734,69459783,AWAT1,exonic,,GOOD,NO,X,69454504,69460511,+
3870215,exome,chr10,+,92821774,92821823,LINC00502,exonic,,GOOD,NO,10,92805564,92821916,+
2710020,exome,chr3,+,151602087,151602136,SUCNR1,exonic,,GOOD,NO,3,151591430,151602407,+
870110,exome,chr15,+,75503668,75503717,C15orf39,exonic,,GOOD,NO,15,75494220,75504510,+
4180259,exome,chr5,+,140784739,140784788,PCDHGA9,exonic,,GOOD,NO,5,140782519,140892546,+
7150059,exome,chr10,+,90682993,90683042,STAMBPL1,exonic,,GOOD,NO,10,90639943,90683259,+
5960523,exome,chr16,-,3160539,3160588,ZNF205-AS1,exonic,,GOOD,NO,16,3160460,3165599,-
5870441,exome,chr16,-,3164837,3164971,ZNF205-AS1,exonic,,GOOD,SPLICE,16,3160460,3165599,-
4920296,exome,chr20,+,37078073,37078122,SNORA60,exonic,,GOOD,NO,20,37078011,37078147,+
4200639,exome,chr4,-,1189738,1189787,LOC100130872,exonic,,GOOD,NO,4,1189570,1202750,-
6110274,exome,chr19,-,14164432,14164481,PALM3,exonic,,GOOD,NO,19,14164178,14169971,-
1190064,exome,chr4,+,69978283,69978332,UGT2B7,exonic,,GOOD,NO,4,69962192,69978705,+
5420450,exome,chr4,+,69978279,69978328,UGT2B7,exonic,,GOOD,NO,4,69962192,69978705,+
1400546,exome,chr1,+,170522155,170522204,GORAB,exonic,,GOOD,NO,1,170501262,170522974,+
830441,exome,chr1,+,170521783,170521832,GORAB,exonic,,GOOD,NO,1,170501262,170522974,+
4230026,exome,chr5,+,73136585,73142141,ARHGEF28,exonic,,GOOD,SPLICE,5,72921982,73237818,+
450240,exome,chr5,+,73205239,73205288,ARHGEF28,exonic,,GOOD,NO,5,72921982,73237818,+
2100176,exome,chr1,-,111490589,111490638,LRIF1,exonic,,GOOD,NO,1,111489811,111506566,-
4260551,exome,chr22,+,21335320,21335369,AIFM3,exonic,,GOOD,NO,22,21319417,21335649,+
6650692,exome,chr19,-,55964472,55964521,ISOC2,exonic,,GOOD,NO,19,55964345,55973049,-
6650189,exome,chr12,+,7363870,7363919,PEX5,exonic,,GOOD,NO,12,7341758,7371169,+
6660333,exome,chr1,-,52838935,52838984,ORC1,exonic,,GOOD,NO,1,52838500,52870143,-
6180280,exome,chr6,-,64499006,64499055,EYS,exonic,,GOOD,NO,6,64429875,66417118,-
630754,exome,chr8,-,135817125,135817174,MIR30D,exonic,,GOOD,NO,8,135817118,135817188,-
1500307,exome,chr7,-,17833399,17833448,SNX13,exonic,,GOOD,NO,7,17830384,17980131,-
2480719,exome,chr8,+,126379143,126379192,NSMCE2,exonic,,GOOD,NO,8,126104082,126379367,+
2630356,exome,chr10,-,135093391,135094811,TUBGCP2,exonic,,GOOD,SPLICE,10,135092133,135125841,-
6420520,exome,chr20,+,44757611,44757660,CD40,exonic,,GOOD,NO,20,44746892,44758384,+
650553,exome,chr2,-,127805918,127805967,BIN1,exonic,,GOOD,NO,2,127805598,127864903,-
4250544,exome,chr11,-,13410058,13410107,BTBD10,exonic,,GOOD,NO,11,13409542,13484844,-
7320187,exome,chr9,-,34613806,34613855,DCTN3,exonic,,GOOD,NO,9,34613541,34620520,-
4760255,exome,chr17,-,79825723,79825772,ARHGDIA,exonic,,GOOD,NO,17,79825594,79829282,-
4760674,exome,chr4,-,170314644,170314693,NEK1,exonic,,GOOD,NO,4,170314420,170533778,-
4730168,exome,chr19,-,39405989,39406038,SARS2,exonic,,GOOD,NO,19,39405903,39421536,-
5810343,exome,chr7,+,75573153,75573202,SNORA14A,exonic,,GOOD,NO,7,75573100,75573234,+
540717,exome,chr19,-,5692098,5692147,LONP1,exonic,,GOOD,NO,19,5691844,5720463,-
50475,exome,chr5,-,159830405,159830454,SLU7,exonic,,GOOD,NO,5,159828647,159846168,-
3710717,exome,chr1,+,41222964,41223013,MIR30C1,exonic,,GOOD,NO,1,41222955,41223044,+
4900209,exome,chr14,-,58875738,58875787,TIMM9,exonic,,GOOD,NO,14,58875211,58894332,-
2650040,exome,chr16,+,14989499,14989548,NOMO1,exonic,,GOOD,NO,16,14927642,14990014,+
3310056,exome,chr16,+,14980693,14982975,NOMO1,exonic,,GOOD,SPLICE,16,14927642,14990014,+
5570068,exome,chr1,-,154841716,154841765,KCNN3,exonic,,GOOD,NO,1,154669941,154842754,-
1570184,exome,chr1,-,154680211,154680260,KCNN3,exonic,,GOOD,NO,1,154669941,154842754,-
6510553,exome,chr19,+,972539,972588,ARID3A,exonic,,GOOD,NO,19,926036,972803,+
5960196,exome,chr2,+,223574486,223574535,MOGAT1,exonic,,GOOD,NO,2,223536456,223574649,+
6270445,exome,chr12,-,85277662,85277711,SLC6A15,exonic,,GOOD,NO,12,85253266,85306608,-
290685,exome,chr12,-,85253701,85253750,SLC6A15,exonic,,GOOD,NO,12,85253266,85306608,-
4920193,exome,chr11,+,8704750,8704799,RPL27A,exonic,,GOOD,NO,11,8703994,8711419,+
1260634,exome,chr4,+,20729620,20729669,PACRGL,exonic,,GOOD,NO,4,20697904,20754523,+
5860608,exome,chr2,-,27293542,27294195,OST4,exonic,,GOOD,SPLICE,2,27293341,27294567,-
5870546,exome,chr5,-,176918083,176918132,PDLIM7,exonic,,GOOD,NO,5,176910394,176924606,-
770639,exome,chr5,-,176917902,176918054,PDLIM7,exonic,,GOOD,SPLICE,5,176910394,176924606,-
4010491,exome,chr11,+,65780414,65780828,CST6,exonic,,GOOD,SPLICE,11,65779461,65780976,+
6380242,exome,chr13,+,43145796,43145845,TNFSF11,exonic,,GOOD,NO,13,43136871,43182149,+
6250326,exome,chr21,+,31768862,31768911,KRTAP13-1,exonic,,GOOD,NO,21,31768391,31769138,+
