ProbeID,Exome,Chr,Strand,From,To,Gene,Type,Max_MAF,Comment,Extra_Comment,CHR,TxStart,TxEnd,Gene_strand,Unique_gene_name
4760377,exome,chr13,-,101183951,101184000,GGACT,exonic,,GOOD,NO,13,101182417,101241046,-,GGACT
6480136,exome,chr3,-,137843207,137843256,A4GNT,exonic,,GOOD,NO,3,137842559,137851229,-,A4GNT
60689,exome,chr12,-,53701328,53701377,AAAS,exonic,,GOOD,NO,12,53701239,53715412,-,AAAS
1580504,exome,chr12,+,125627584,125627633,AACS,exonic,,GOOD,NO,12,125549912,125627879,+,AACS
4570132,exome,chr5,-,178192064,178192113,AACSP1,exonic,,GOOD,NO,5,178191861,178245436,-,AACSP1
7210327,exome,chr3,-,172348570,172348619,NCEH1,exonic,,GOOD,NO,3,172348434,172429008,-,NCEH1.1
7650020,exome,chr3,-,172348986,172349035,NCEH1,exonic,,GOOD,NO,3,172348434,172429008,-,NCEH1.2
1170332,exome,chr2,-,69691422,69691471,AAK1,exonic,,GOOD,NO,2,69685126,69870977,-,AAK1
4610048,exome,chr2,-,219129113,219129162,AAMP,exonic,,GOOD,NO,2,219128851,219134932,-,AAMP
290603,exome,chr16,-,70286329,70286378,AARS,exonic,,GOOD,NO,16,70286296,70323412,-,AARS
540255,exome,chr6,-,44267495,44267544,AARS2,exonic,,GOOD,NO,6,44266462,44281063,-,AARS2
4150561,exome,chr4,-,57204704,57204753,AASDH,exonic,,GOOD,NO,4,57204450,57253674,-,AASDH
6060767,exome,chr11,+,105968544,105968593,AASDHPPT,exonic,,GOOD,NO,11,105948291,105969419,+,AASDHPPT.1
7040717,exome,chr11,+,105968954,105969003,AASDHPPT,exonic,,GOOD,NO,11,105948291,105969419,+,AASDHPPT.2
6020372,exome,chr17,+,35413905,35413954,AATF,exonic,,GOOD,NO,17,35306174,35414171,+,AATF
5550132,exome,chr17,-,79091379,79091428,AATK,exonic,,GOOD,NO,17,79091095,79139872,-,AATK.1
7400300,exome,chr17,-,79094379,79094428,AATK,exonic,,GOOD,NO,17,79091095,79139872,-,AATK.2
1230592,exome,chr16,+,8877904,8877953,ABAT,exonic,,GOOD,NO,16,8768443,8878432,+,ABAT.1
6580291,exome,chr16,+,8878220,8878269,ABAT,exonic,,GOOD,NO,16,8768443,8878432,+,ABAT.2
4060358,exome,chr9,-,107543501,107543550,ABCA1,exonic,,GOOD,NO,9,107543283,107690527,-,ABCA1
2570100,exome,chr19,+,1065127,1065274,ABCA7,exonic,,GOOD,SPLICE,19,1040101,1065570,+,ABCA7
4810048,exome,chr1,-,229652752,229652801,ABCB10,exonic,,GOOD,NO,1,229652328,229694442,-,ABCB10.1
2810367,exome,chr2,-,220074601,220074650,ABCB6,exonic,,GOOD,NO,2,220074487,220083712,-,ABCB6
6900241,exome,chr12,-,123413569,123413618,ABCB9,exonic,,GOOD,NO,12,123405497,123451056,-,ABCB9.1
650646,exome,chr6,+,43417889,43417938,ABCC10,exonic,,GOOD,NO,6,43395291,43418163,+,ABCC10
270615,exome,chr17,+,48768788,48768836,ABCC3,exonic,,GOOD,NO,17,48712217,48769063,+,ABCC3
2450201,exome,chr13,-,95672560,95672609,ABCC4,exonic,,GOOD,NO,13,95672082,95953700,-,ABCC4.1
6110181,exome,chr13,-,95672369,95672418,ABCC4,exonic,,GOOD,NO,13,95672082,95953700,-,ABCC4.2
6580553,exome,chr3,-,183637872,183637921,ABCC5,exonic,,GOOD,NO,3,183637723,183735748,-,ABCC5.1
7610050,exome,chr3,-,183701661,183701710,ABCC5,exonic,,GOOD,NO,3,183637723,183735748,-,ABCC5.2
5310021,exome,chr16,-,16315167,16315216,ABCC6,exonic,,GOOD,NO,16,16243421,16317328,-,ABCC6.1
1340162,exome,chr16,-,14916739,14916788,ABCC6P2,exonic,,GOOD,NO,16,14916288,14918559,-,ABCC6P2
3370408,exome,chr12,-,21960374,21962795,ABCC9,exonic,,GOOD,SPLICE,12,21950323,22089628,-,ABCC9.1
4040025,exome,chr12,-,21960377,21962798,ABCC9,exonic,,GOOD,SPLICE,12,21950323,22089628,-,ABCC9.2
1580736,exome,chr1,+,94983352,94983401,ABCD3,exonic,,GOOD,NO,1,94883932,94984219,+,ABCD3
1090543,exome,chr4,+,146049778,146049827,ABCE1,exonic,,GOOD,NO,4,146019155,146050676,+,ABCE1.1
5310152,exome,chr4,+,146049799,146049848,ABCE1,exonic,,GOOD,NO,4,146019155,146050676,+,ABCE1.2
2190273,exome,chr6,+,30558750,30558799,ABCF1,exonic,,GOOD,NO,6,30539169,30559309,+,ABCF1.1
7380113,exome,chr6,+,30558969,30559018,ABCF1,exonic,,GOOD,NO,6,30539169,30559309,+,ABCF1.2
5420142,exome,chr7,-,150911180,150911229,ABCF2,exonic,,GOOD,NO,7,150904922,150924460,-,ABCF2.1
7100039,exome,chr7,-,150909819,150909868,ABCF2,exonic,,GOOD,NO,7,150904922,150924460,-,ABCF2.2
4560689,exome,chr3,+,183911473,183911522,ABCF3,exonic,,GOOD,NO,3,183903862,183911795,+,ABCF3
3440292,exome,chr21,+,43619800,43619849,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+,ABCG1.1
4540091,exome,chr21,+,43636228,43636277,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+,ABCG1.2
6060377,exome,chr21,+,43717164,43717213,ABCG1,exonic,,GOOD,NO,21,43619798,43717354,+,ABCG1.3
1300328,exome,chr3,+,111711946,111711995,ABHD10,exonic,,GOOD,NO,3,111697722,111712215,+,ABHD10
1940068,exome,chr7,-,73152694,73152743,ABHD11,exonic,,GOOD,NO,7,73150424,73153197,-,ABHD11.1
2710615,exome,chr20,-,25275567,25275616,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-,ABHD12.1
7100615,exome,chr20,-,25282863,25282912,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-,ABHD12.2
7610382,exome,chr20,-,25281090,25281139,ABHD12,exonic,,GOOD,NO,20,25275378,25371618,-,ABHD12.3
4810600,exome,chr13,+,108884783,108884832,ABHD13,exonic,,GOOD,NO,13,108870762,108886603,+,ABHD13.1
5870288,exome,chr13,+,108886447,108886496,ABHD13,exonic,,GOOD,NO,13,108870762,108886603,+,ABHD13.2
1430360,exome,chr3,+,52015010,52015059,ABHD14A,exonic,,GOOD,NO,3,52009041,52015216,+,ABHD14A
